,Code du departement,Libelle du departement,Code de la circonscription,Libelle de la circonscription,Code de la commune,Libelle de la commune,Code du b.vote,Inscrits,Abstentions,% Abs/Ins,Votants,% Vot/Ins,Blancs,% Blancs/Ins,% Blancs/Vot,Nuls,% Nuls/Ins,% Nuls/Vot,Exprimes,% Exp/Ins,% Exp/Vot,No Panneau,Sexe,Nom,Prenom,Voix,% Voix/Ins,% Voix/Exp,No Panneau2,Sexe2,Nom2,Prenom2,Voix2,% Voix/Ins2,% Voix/Exp2
51463,75.0,Paris,1,1ere circonscription,56,Paris,203.0,816,160,"19,61",656,"80,39",30,"3,68","4,57",4,"0,49","0,61",622,"76,23","94,82",1,M,MACRON,Emmanuel,543,"66,54","87,3",2,F,LE PEN,Marine,79,"9,68","12,7"
51464,75.0,Paris,1,1ere circonscription,56,Paris,204.0,1443,281,"19,47",1162,"80,53",49,"3,4","4,22",10,"0,69","0,86",1103,"76,44","94,92",1,M,MACRON,Emmanuel,1025,"71,03","92,93",2,F,LE PEN,Marine,78,"5,41","7,07"
51465,75.0,Paris,1,1ere circonscription,56,Paris,205.0,1413,249,"17,62",1164,"82,38",41,"2,9","3,52",12,"0,85","1,03",1111,"78,63","95,45",1,M,MACRON,Emmanuel,1036,"73,32","93,25",2,F,LE PEN,Marine,75,"5,31","6,75"
51466,75.0,Paris,1,1ere circonscription,56,Paris,206.0,1436,254,"17,69",1182,"82,31",41,"2,86","3,47",17,"1,18","1,44",1124,"78,27","95,09",1,M,MACRON,Emmanuel,1026,"71,45","91,28",2,F,LE PEN,Marine,98,"6,82","8,72"
51467,75.0,Paris,1,1ere circonscription,56,Paris,207.0,1444,269,"18,63",1175,"81,37",49,"3,39","4,17",6,"0,42","0,51",1120,"77,56","95,32",1,M,MACRON,Emmanuel,1050,"72,71","93,75",2,F,LE PEN,Marine,70,"4,85","6,25"
51468,75.0,Paris,1,1ere circonscription,56,Paris,208.0,1710,372,"21,75",1338,"78,25",55,"3,22","4,11",10,"0,58","0,75",1273,"74,44","95,14",1,M,MACRON,Emmanuel,1198,"70,06","94,11",2,F,LE PEN,Marine,75,"4,39","5,89"
51469,75.0,Paris,1,1ere circonscription,56,Paris,209.0,1675,370,"22,09",1305,"77,91",60,"3,58","4,6",7,"0,42","0,54",1238,"73,91","94,87",1,M,MACRON,Emmanuel,1164,"69,49","94,02",2,F,LE PEN,Marine,74,"4,42","5,98"
51470,75.0,Paris,1,1ere circonscription,56,Paris,210.0,1282,222,"17,32",1060,"82,68",35,"2,73","3,3",11,"0,86","1,04",1014,"79,1","95,66",1,M,MACRON,Emmanuel,945,"73,71","93,2",2,F,LE PEN,Marine,69,"5,38","6,8"
51471,75.0,Paris,1,1ere circonscription,56,Paris,801.0,1440,324,"22,5",1116,"77,5",46,"3,19","4,12",23,"1,6","2,06",1047,"72,71","93,82",1,M,MACRON,Emmanuel,926,"64,31","88,44",2,F,LE PEN,Marine,121,"8,4","11,56"
51472,75.0,Paris,1,1ere circonscription,56,Paris,802.0,1349,271,"20,09",1078,"79,91",63,"4,67","5,84",9,"0,67","0,83",1006,"74,57","93,32",1,M,MACRON,Emmanuel,918,"68,05","91,25",2,F,LE PEN,Marine,88,"6,52","8,75"
51473,75.0,Paris,1,1ere circonscription,56,Paris,803.0,1361,245,18,1116,82,78,"5,73","6,99",23,"1,69","2,06",1015,"74,58","90,95",1,M,MACRON,Emmanuel,900,"66,13","88,67",2,F,LE PEN,Marine,115,"8,45","11,33"
51474,75.0,Paris,1,1ere circonscription,56,Paris,804.0,1343,270,"20,1",1073,"79,9",64,"4,77","5,96",10,"0,74","0,93",999,"74,39","93,1",1,M,MACRON,Emmanuel,891,"66,34","89,19",2,F,LE PEN,Marine,108,"8,04","10,81"
51475,75.0,Paris,1,1ere circonscription,56,Paris,805.0,1554,242,"15,57",1312,"84,43",81,"5,21","6,17",16,"1,03","1,22",1215,"78,19","92,61",1,M,MACRON,Emmanuel,1091,"70,21","89,79",2,F,LE PEN,Marine,124,"7,98","10,21"
51476,75.0,Paris,1,1ere circonscription,56,Paris,806.0,1386,258,"18,61",1128,"81,39",73,"5,27","6,47",18,"1,3","1,6",1037,"74,82","91,93",1,M,MACRON,Emmanuel,915,"66,02","88,24",2,F,LE PEN,Marine,122,"8,8","11,76"
51477,75.0,Paris,1,1ere circonscription,56,Paris,807.0,1485,276,"18,59",1209,"81,41",85,"5,72","7,03",20,"1,35","1,65",1104,"74,34","91,32",1,M,MACRON,Emmanuel,979,"65,93","88,68",2,F,LE PEN,Marine,125,"8,42","11,32"
51478,75.0,Paris,1,1ere circonscription,56,Paris,808.0,1414,250,"17,68",1164,"82,32",64,"4,53","5,5",17,"1,2","1,46",1083,"76,59","93,04",1,M,MACRON,Emmanuel,964,"68,18","89,01",2,F,LE PEN,Marine,119,"8,42","10,99"
51479,75.0,Paris,1,1ere circonscription,56,Paris,809.0,1616,284,"17,57",1332,"82,43",102,"6,31","7,66",17,"1,05","1,28",1213,"75,06","91,07",1,M,MACRON,Emmanuel,1070,"66,21","88,21",2,F,LE PEN,Marine,143,"8,85","11,79"
51480,75.0,Paris,1,1ere circonscription,56,Paris,810.0,1068,237,"22,19",831,"77,81",59,"5,52","7,1",12,"1,12","1,44",760,"71,16","91,46",1,M,MACRON,Emmanuel,668,"62,55","87,89",2,F,LE PEN,Marine,92,"8,61","12,11"
