,Code du departement,Libelle du departement,Code de la circonscription,Libelle de la circonscription,Code de la commune,Libelle de la commune,Code du b.vote,Inscrits,Abstentions,% Abs/Ins,Votants,% Vot/Ins,Blancs,% Blancs/Ins,% Blancs/Vot,Nuls,% Nuls/Ins,% Nuls/Vot,Exprimes,% Exp/Ins,% Exp/Vot,No Panneau,Sexe,Nom,Prenom,Voix,% Voix/Ins,% Voix/Exp,No Panneau2,Sexe2,Nom2,Prenom2,Voix2,% Voix/Ins2,% Voix/Exp2
51686,75.0,Paris,1,1ere circonscription,56,Paris,,13673,3423,25.03,10250,74.97,705,5.16,6.88,180,1.32,1.76,9365,68.49,91.37,1,M,MACRON,Emmanuel,6117,44.74,65.32,2,F,LE PEN,Marine,3248,23.75,34.68
51687,75.0,Paris,1,1ere circonscription,56,Paris,101.0,1082,262,24.21,820,75.79,41,3.79,5.0,15,1.39,1.83,764,70.61,93.17,1,M,MACRON,Emmanuel,639,59.06,83.64,2,F,LE PEN,Marine,125,11.55,16.36
51688,75.0,Paris,1,1ere circonscription,56,Paris,102.0,1235,293,23.72,942,76.28,45,3.64,4.78,4,0.32,0.42,893,72.31,94.8,1,M,MACRON,Emmanuel,780,63.16,87.35,2,F,LE PEN,Marine,113,9.15,12.65
51689,75.0,Paris,1,1ere circonscription,56,Paris,103.0,1243,281,22.61,962,77.39,44,3.54,4.57,16,1.29,1.66,902,72.57,93.76,1,M,MACRON,Emmanuel,753,60.58,83.48,2,F,LE PEN,Marine,149,11.99,16.52
51690,75.0,Paris,1,1ere circonscription,56,Paris,104.0,1308,400,30.58,908,69.42,61,4.66,6.72,11,0.84,1.21,836,63.91,92.07,1,M,MACRON,Emmanuel,694,53.06,83.01,2,F,LE PEN,Marine,142,10.86,16.99
51691,75.0,Paris,1,1ere circonscription,56,Paris,105.0,1088,242,22.24,846,77.76,27,2.48,3.19,12,1.1,1.42,807,74.17,95.39,1,M,MACRON,Emmanuel,694,63.79,86.0,2,F,LE PEN,Marine,113,10.39,14.0
51692,75.0,Paris,1,1ere circonscription,56,Paris,106.0,1229,297,24.17,932,75.83,38,3.09,4.08,10,0.81,1.07,884,71.93,94.85,1,M,MACRON,Emmanuel,729,59.32,82.47,2,F,LE PEN,Marine,155,12.61,17.53
51693,75.0,Paris,1,1ere circonscription,56,Paris,107.0,1115,250,22.42,865,77.58,43,3.86,4.97,5,0.45,0.58,817,73.27,94.45,1,M,MACRON,Emmanuel,701,62.87,85.8,2,F,LE PEN,Marine,116,10.4,14.2
51694,75.0,Paris,1,1ere circonscription,56,Paris,108.0,959,237,24.71,722,75.29,40,4.17,5.54,5,0.52,0.69,677,70.59,93.77,1,M,MACRON,Emmanuel,568,59.23,83.9,2,F,LE PEN,Marine,109,11.37,16.1
51695,75.0,Paris,1,1ere circonscription,56,Paris,109.0,957,223,23.3,734,76.7,25,2.61,3.41,9,0.94,1.23,700,73.15,95.37,1,M,MACRON,Emmanuel,584,61.02,83.43,2,F,LE PEN,Marine,116,12.12,16.57
51696,75.0,Paris,1,1ere circonscription,56,Paris,110.0,874,207,23.68,667,76.32,19,2.17,2.85,6,0.69,0.9,642,73.46,96.25,1,M,MACRON,Emmanuel,549,62.81,85.51,2,F,LE PEN,Marine,93,10.64,14.49
