annee,tour,code_circo,bord_politique,chance_win,best_model
2027,1,6,C,0.005631138383873394,logistic_balanced
2027,1,6,CD,3.3203375413918797e-12,logistic_balanced
2027,1,6,COM,1.4649094359731096e-11,logistic_balanced
2027,1,13,SOU,6.468775767075542e-12,logistic_balanced
2027,1,14,C,0.9999970959932918,logistic_balanced
2027,1,14,CD,6.8769404763535505e-12,logistic_balanced
2027,1,14,COM,4.18713265378443e-12,logistic_balanced
2027,1,12,SOU,4.101776522242623e-12,logistic_balanced
2027,1,13,C,0.99308070271073,logistic_balanced
2027,1,13,CD,8.219359884599747e-12,logistic_balanced
2027,1,13,COM,7.906068477267843e-12,logistic_balanced
2027,1,6,D,1.3567874405455415e-11,logistic_balanced
2027,1,6,EXD,1.0120389023541385e-10,logistic_balanced
2027,1,6,EXD,1.1340045302186691e-10,logistic_balanced
2027,1,6,EXG,3.460318635291266e-12,logistic_balanced
2027,1,5,COM,9.684239434391826e-12,logistic_balanced
2027,1,5,D,5.521486473879347e-12,logistic_balanced
2027,1,5,EXD,6.884919008153321e-11,logistic_balanced
2027,1,5,EXD,2.1768885906242866e-10,logistic_balanced
2027,1,5,EXG,2.158904514209169e-12,logistic_balanced
2027,1,14,G,5.915759605191485e-12,logistic_balanced
2027,1,14,G,9.522635610369295e-11,logistic_balanced
2027,1,14,RG,1.8088698979057263e-08,logistic_balanced
2027,1,13,EXG,2.8862451427174003e-12,logistic_balanced
2027,1,13,EXG,3.382884770362334e-12,logistic_balanced
2027,1,13,G,5.2706047350395526e-12,logistic_balanced
2027,1,13,G,7.047378333238674e-10,logistic_balanced
2027,1,13,RG,0.0009553852418073129,logistic_balanced
2027,1,5,EXG,2.898465266973763e-12,logistic_balanced
2027,1,5,G,9.126761524656593e-13,logistic_balanced
2027,1,5,G,1.4049128631989266e-09,logistic_balanced
2027,1,5,RG,0.9559112776894246,logistic_balanced
2027,1,4,EXG,1.9187647218497954e-12,logistic_balanced
2027,1,4,EXG,2.1369889145761805e-12,logistic_balanced
2027,1,4,G,2.062944720011971e-12,logistic_balanced
2027,1,4,G,4.511366589066807e-11,logistic_balanced
2027,1,4,RG,1.1503261973286368e-07,logistic_balanced
2027,1,15,EXD,6.452489564685929e-10,logistic_balanced
2027,1,15,EXD,4.240376883409845e-10,logistic_balanced
2027,1,15,EXG,6.7109963483673655e-12,logistic_balanced
2027,1,15,EXG,9.958257043119424e-12,logistic_balanced
2027,1,14,D,3.049978648441835e-08,logistic_balanced
2027,1,14,EXD,3.649516430283987e-10,logistic_balanced
2027,1,14,EXD,3.3460129409046627e-06,logistic_balanced
2027,1,14,EXG,2.6477564847195075e-12,logistic_balanced
2027,1,14,EXG,2.9547917854089444e-12,logistic_balanced
2027,1,4,SOU,5.341829629904337e-12,logistic_balanced
2027,1,5,C,0.7925041808950753,logistic_balanced
2027,1,5,CD,5.208741659346757e-12,logistic_balanced
2027,1,3,RG,0.3918437870321697,logistic_balanced
2027,1,3,SOU,5.477586789043772e-12,logistic_balanced
2027,1,4,C,0.9999934638030438,logistic_balanced
2027,1,4,CD,6.342166081424769e-12,logistic_balanced
2027,1,16,C,0.0015742046864151646,logistic_balanced
2027,1,16,CD,1.2003706391629117e-11,logistic_balanced
2027,1,16,COM,2.7125557751989625e-11,logistic_balanced
2027,1,16,D,1.2663970294304298e-11,logistic_balanced
2027,1,14,SOU,5.6945907132869455e-12,logistic_balanced
2027,1,15,C,0.002083646412860654,logistic_balanced
2027,1,15,CD,1.4919224974730104e-11,logistic_balanced
2027,1,15,COM,3.917090510123505e-11,logistic_balanced
2027,1,15,D,2.0078776165270778e-11,logistic_balanced
2027,1,4,COM,3.993707728602479e-12,logistic_balanced
2027,1,4,D,4.88978130438332e-09,logistic_balanced
2027,1,4,EXD,2.4592858331760966e-10,logistic_balanced
2027,1,4,EXD,4.800458240624831e-06,logistic_balanced
2027,1,3,CD,7.105347247723952e-12,logistic_balanced
2027,1,3,COM,8.835899204337853e-12,logistic_balanced
2027,1,3,D,1.5346709468007706e-10,logistic_balanced
2027,1,3,EXD,2.0928912243121438e-10,logistic_balanced
2027,1,3,EXD,5.673085447828054e-10,logistic_balanced
2027,1,16,G,1.2215199776208836e-08,logistic_balanced
2027,1,16,RG,0.9999990947506537,logistic_balanced
2027,1,16,SOU,1.0186412336891806e-11,logistic_balanced
2027,1,15,G,6.488580041975943e-11,logistic_balanced
2027,1,15,G,1.4346323930554722e-08,logistic_balanced
2027,1,15,RG,0.9999985020263813,logistic_balanced
2027,1,15,SOU,1.2518550944414653e-11,logistic_balanced
2027,1,3,EXG,3.2533306899107705e-12,logistic_balanced
2027,1,3,EXG,4.113953921165043e-12,logistic_balanced
2027,1,3,G,9.486756219471269e-12,logistic_balanced
2027,1,3,G,4.119584345736242e-09,logistic_balanced
2027,1,2,EXD,1.1664079680834553e-08,logistic_balanced
2027,1,2,EXG,2.00166426748383e-12,logistic_balanced
2027,1,2,EXG,2.423006713823812e-12,logistic_balanced
2027,1,2,G,1.108687333858532e-11,logistic_balanced
2027,1,2,G,1.6642277653449422e-09,logistic_balanced
2027,1,17,EXD,2.8371658286787426e-10,logistic_balanced
2027,1,17,EXG,3.9925881205008105e-12,logistic_balanced
2027,1,17,EXG,6.039326908552113e-12,logistic_balanced
2027,1,17,G,2.4432066444414604e-11,logistic_balanced
2027,1,16,EXD,3.8251035447444463e-10,logistic_balanced
2027,1,16,EXD,1.3900504560524192e-09,logistic_balanced
2027,1,16,EXG,7.16194435956929e-12,logistic_balanced
2027,1,16,EXG,9.616319298843034e-12,logistic_balanced
2027,1,16,G,6.178991332809267e-11,logistic_balanced
2027,1,2,CD,5.432124516044224e-12,logistic_balanced
2027,1,2,COM,4.997946876139596e-12,logistic_balanced
2027,1,2,D,3.3954395914885406e-10,logistic_balanced
2027,1,2,EXD,8.353769220951424e-11,logistic_balanced
2027,1,17,C,7.639756689449513e-05,logistic_balanced
2027,1,17,CD,6.225336538861246e-12,logistic_balanced
2027,1,17,COM,1.1742228550444584e-11,logistic_balanced
2027,1,17,D,5.703737693440737e-12,logistic_balanced
2027,1,17,EXD,2.1059445793197998e-10,logistic_balanced
2027,1,2,RG,3.8908481460686614e-05,logistic_balanced
2027,1,2,SOU,3.441739691802731e-12,logistic_balanced
2027,1,3,C,0.9801951707675033,logistic_balanced
2027,1,18,EXD,4.578131360165219e-11,logistic_balanced
2027,1,1,C,0.9875525281981065,logistic_balanced
2027,1,1,CD,5.191673822975015e-12,logistic_balanced
2027,1,1,COM,4.394696284154253e-12,logistic_balanced
2027,1,1,D,3.028928173291423e-11,logistic_balanced
2027,1,1,EXD,5.156250915444186e-10,logistic_balanced
2027,1,18,RG,0.9985529149800735,logistic_balanced
2027,1,18,C,0.001872669190891812,logistic_balanced
2027,1,18,CD,8.05944726720096e-12,logistic_balanced
2027,1,18,COM,1.3152638565654358e-11,logistic_balanced
2027,1,18,SOU,5.4420418161543635e-12,logistic_balanced
2027,1,18,D,1.3018648087437012e-11,logistic_balanced
2027,1,18,EXD,2.6431220151977215e-11,logistic_balanced
